,positive1,positive2,positive3,control1,control2,control3
URIAAL_R00829,4.363545172,4.777125374,5.206368921,5.424478923,4.885923333,5.165669828
URIAAL_R00839,7.14466314,8.141573901,7.5674659,6.602008157,7.050510628,7.511659348
URIAAL_R00812,9.160910413,9.835524774,9.402118078,8.477609977,9.37005778,9.420588431
URIAAL_R00830,7.14466314,6.81179987,7.659741007,7.115502592,6.889234995,7.34533629
URIAAL_R06615,9.696196725,10.05939054,10.34488073,10.05570212,10.61297247,10.67923306
URIAAL_R06608,4.891955851,6.030025419,6.223744788,6.030894245,6.142456428,5.414953896
URIAAL_R06606,7.975684228,8.774563829,6.245127382,6.922387578,5.895214605,6.577351229
URIAAL_R14591,5.106768862,5.075108153,4.363545172,4.363545172,4.363545172,4.768462915
URIAAL_R06603,11.96711835,11.79426513,12.09118055,11.54844096,11.38084307,12.35329007
URIAAL_R06616,4.363545172,4.363545172,4.363545172,4.824231677,5.035531377,4.363545172
URIAAL_R06604,7.296070932,7.451346283,7.315751224,7.572166996,8.174445576,6.524581044
URIAAL_R06617,4.363545172,4.363545172,4.363545172,4.363545172,5.098372679,4.363545172
URIAAL_R00813,4.363545172,4.363545172,5.004475073,4.363545172,4.363545172,4.363545172
URIAAL_R00831,5.268971085,5.360144269,5.785897557,5.630955528,5.919985035,4.934336631
URIAAL_R06618,8.798112745,8.690612186,8.888553489,8.014772548,8.334088112,8.929385851
URIAAL_R15606,7.085227234,7.21959861,7.710909574,6.681845003,7.366512297,7.042329588
URIAAL_R00814,7.130042279,8.72885378,7.996100138,8.977102673,7.490124187,7.88805095
URIAAL_R06605,8.084230804,7.378285652,7.892588399,6.387868576,8.015245459,7.511659348
URIAAL_R00806,10.56942817,10.16486996,9.203974891,9.942270437,10.32348574,10.83045715
URIAAL_R00832,8.86024031,8.472059842,7.847673976,8.68532003,7.257355374,6.780738341
URIAAL_R00833,4.363545172,4.946467387,4.363545172,4.824231677,5.392096277,5.060393588
URIAAL_R06609,5.924129206,6.404520936,5.904741953,6.869522209,5.610890998,6.397384853
URIAAL_R06619,4.363545172,4.363545172,4.363545172,4.689988651,4.363545172,4.363545172
URIAAL_R06607,13.11127288,13.55945554,13.05545196,11.81870963,13.03948996,12.94265029
URIAAL_R06620,4.363545172,5.436618703,5.365066786,4.926588771,4.790835485,4.650333526
URIAAL_R06621,4.363545172,4.777125374,4.363545172,5.01234472,4.666235093,4.363545172
URIAAL_R06622,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R00834,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R00840,8.113784337,7.612591949,8.352779719,6.463243587,6.866214668,7.395919218
URIAAL_R06626,11.70943955,12.1933791,12.12225329,11.15526087,11.95791507,12.34765344
URIAAL_R00841,6.129823332,6.981755301,6.611096347,6.666257463,7.167146695,7.189803927
URIAAL_R00835,6.799195996,6.479373071,4.363545172,6.307767268,6.744836746,4.363545172
URIAAL_R00836,7.384500116,6.508142096,7.5271612,7.213304497,7.019740175,8.097262182
URIAAL_R06623,11.95955131,12.93974054,12.27853702,11.28943929,12.40475252,12.69616068
URIAAL_R06624,9.403539424,9.990980408,9.56055789,8.782371142,9.543739934,9.607413619
URIAAL_R14594,4.363545172,4.363545172,4.363545172,5.216595778,4.790835485,4.363545172
URIAAL_R06625,8.572698118,7.807945689,8.600061714,8.038344041,7.283314481,8.105883927
URIAAL_R00815,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
